213.213.194.114 - - [01/Jan/2018:00:50:12 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 59 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:50:22 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 60 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:50:42 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 61 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:11 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 62 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:22 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 63 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:36 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 64 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:38 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 65 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:41 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 66 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:45 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 67 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:55 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 68 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:51:59 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 69 - - 0ms
